,date,date_wxstation,LATITUDE,LONGITUDE,PRCP,SNOW,TMAX,TMIN,wx_station,did_PRCP,did_SNOW
0,2000-05-01,2000-05-01_east_glac,48.4472,-113.2236,0.0,0.0,70.0,39.0,east_glac,0,0
1,2000-05-01,2000-05-01_many_glac,48.8,-113.67,0.0,0.0,63.0,37.0,many_glac,0,0
2,2000-05-01,2000-05-01_st_mary,48.7375,-113.4305,0.0,0.0,70.0,39.0,st_mary,0,0
3,2000-05-01,2000-05-01_west_glac,48.5002,-113.9847,0.0,0.0,72.0,31.0,west_glac,0,0
4,2000-05-02,2000-05-02_east_glac,48.4472,-113.2236,0.0,0.0,53.0,39.0,east_glac,0,0
5,2000-05-02,2000-05-02_many_glac,48.8,-113.67,0.0,0.0,49.0,37.0,many_glac,0,0
6,2000-05-02,2000-05-02_st_mary,48.7375,-113.4305,0.0,0.0,53.0,39.0,st_mary,0,0
7,2000-05-02,2000-05-02_west_glac,48.5002,-113.9847,0.06,0.0,71.0,40.0,west_glac,1,0
8,2000-05-03,2000-05-03_east_glac,48.4472,-113.2236,0.0,0.0,58.0,41.0,east_glac,0,0
9,2000-05-03,2000-05-03_many_glac,48.8,-113.67,0.7,0.0,54.0,40.0,many_glac,1,0
10,2000-05-03,2000-05-03_st_mary,48.7375,-113.4305,0.7,0.0,58.0,41.0,st_mary,1,0
11,2000-05-03,2000-05-03_west_glac,48.5002,-113.9847,0.09,0.0,54.0,34.0,west_glac,1,0
12,2000-05-04,2000-05-04_east_glac,48.4472,-113.2236,0.0,0.0,46.0,40.0,east_glac,0,0
13,2000-05-04,2000-05-04_many_glac,48.8,-113.67,0.1,0.0,42.0,34.0,many_glac,1,0
14,2000-05-04,2000-05-04_st_mary,48.7375,-113.4305,0.1,0.0,46.0,40.0,st_mary,1,0
15,2000-05-04,2000-05-04_west_glac,48.5002,-113.9847,0.33,0.0,52.0,38.0,west_glac,1,0
16,2000-05-05,2000-05-05_east_glac,48.4472,-113.2236,0.0,0.0,68.0,37.0,east_glac,0,0
17,2000-05-05,2000-05-05_many_glac,48.8,-113.67,0.2,0.0,54.0,35.0,many_glac,1,0
18,2000-05-05,2000-05-05_st_mary,48.7375,-113.4305,0.2,0.0,57.0,38.0,st_mary,1,0
