date,aqi,Main Pollutant,ozone,PM10,PM25,date_aqi
2000-01-01,60,PM2.5,28,16,60,01/01/2000
2000-01-02,29,Ozone,29,12,53,01/02/2000
2000-01-03,40,CO,28,9,46,01/03/2000
2000-01-04,40,PM2.5,30,8,40,01/04/2000
2000-01-05,33,Ozone,33,7,7,01/05/2000
2000-01-06,40,CO,35,11,29,01/06/2000
2000-01-07,51,PM2.5,34,14,51,01/07/2000
2000-01-08,35,Ozone,35,5,4,01/08/2000
2000-01-09,37,Ozone,37,6,18,01/09/2000
2000-01-10,38,Ozone,38,24,32,01/10/2000
2000-01-11,26,CO,35,10,19,01/11/2000
2000-01-12,45,CO,32,11,6,01/12/2000
2000-01-13,45,PM2.5,26,11,45,01/13/2000
2000-01-14,43,CO,35,12,25,01/14/2000
2000-01-15,34,Ozone,34,6,6,01/15/2000
2000-01-16,40,PM2.5,32,7,40,01/16/2000
2000-01-17,48,CO,33,15,46,01/17/2000
2000-01-18,32,CO,23,17,53,01/18/2000
2000-01-19,60,PM2.5,22,20,60,01/19/2000
2000-01-20,28,CO,18,9,62,01/20/2000
2000-01-21,36,CO,19,14,65,01/21/2000
2000-01-22,68,PM2.5,26,16,68,01/22/2000
2000-01-23,30,Ozone,30,10,56,01/23/2000
2000-01-24,30,Ozone,30,8,44,01/24/2000
2000-01-25,33,PM2.5,30,11,33,01/25/2000
2000-01-26,43,PM2.5,19,16,43,01/26/2000
2000-01-27,26,CO,22,10,50,01/27/2000
2000-01-28,57,PM2.5,27,11,57,01/28/2000
2000-01-29,26,Ozone,26,6,20,01/29/2000
2000-01-30,30,Ozone,30,10,49,01/30/2000
2000-01-31,78,PM2.5,18,24,78,01/31/2000
2000-02-01,34,CO,31,15,42,02/01/2000
2000-02-02,41,CO,30,10,7,02/02/2000
2000-02-03,33,PM2.5,31,7,33,02/03/2000
2000-02-04,27,Ozone,27,13,22,02/04/2000
2000-02-05,30,Ozone,30,9,12,02/05/2000
2000-02-06,54,PM2.5,20,14,54,02/06/2000
2000-02-07,23,CO,17,15,54,02/07/2000
2000-02-08,28,CO,10,11,55,02/08/2000
2000-02-09,56,PM2.5,34,13,56,02/09/2000
2000-02-10,29,Ozone,29,26,51,02/10/2000
2000-02-11,53,PM10,27,53,47,02/11/2000
2000-02-12,43,PM2.5,32,21,43,02/12/2000
2000-02-13,25,Ozone,25,14,45,02/13/2000
2000-02-14,35,Ozone,35,12,47,02/14/2000
2000-02-15,49,PM2.5,31,11,49,02/15/2000
2000-02-16,31,Ozone,31,16,12,02/16/2000
2000-02-17,31,Ozone,31,16,25,02/17/2000
2000-02-18,38,PM2.5,38,28,38,02/18/2000
2000-02-19,38,Ozone,38,23,18,02/19/2000
2000-02-20,35,PM10,33,35,55,02/20/2000
2000-02-21,92,PM2.5,24,48,92,02/21/2000
2000-02-22,39,CO,22,25,53,02/22/2000
2000-02-23,28,CO,27,11,15,02/23/2000
2000-02-24,38,CO,29,6,20,02/24/2000
2000-02-25,33,Ozone,33,12,19,02/25/2000
2000-02-26,29,Ozone,29,12,18,02/26/2000
2000-02-27,49,PM2.5,19,9,49,02/27/2000
2000-02-28,32,CO,31,11,49,02/28/2000
2000-02-29,45,PM10,35,45,49,02/29/2000
2000-03-01,57,PM10,37,57,50,03/01/2000
2000-03-02,58,PM10,37,58,47,03/02/2000
2000-03-03,57,PM10,39,57,44,03/03/2000
2000-03-04,42,PM2.5,26,16,42,03/04/2000
2000-03-05,38,Ozone,38,14,47,03/05/2000
2000-03-06,36,PM10,35,36,52,03/06/2000
2000-03-07,66,PM10,36,66,58,03/07/2000
2000-03-08,35,Ozone,35,30,18,03/08/2000
2000-03-09,32,Ozone,32,27,40,03/09/2000
2000-03-10,72,PM10,36,72,63,03/10/2000
2000-03-11,35,Ozone,35,19,13,03/11/2000
2000-03-12,40,Ozone,40,27,31,03/12/2000
2000-03-13,50,PM2.5,37,38,50,03/13/2000
2000-03-14,38,Ozone,38,23,32,03/14/2000
2000-03-15,64,PM10,37,64,15,03/15/2000
2000-03-16,55,PM2.5,34,39,55,03/16/2000
2000-03-17,37,Ozone,37,16,35,03/17/2000
2000-03-18,36,Ozone,36,24,16,03/18/2000
2000-03-19,40,Ozone,40,26,17,03/19/2000
2000-03-20,55,PM10,41,55,23,03/20/2000
