cg_name,fee,sites,flush_toilets,showers,disposal_station,reservations,rv,primitive,isolated,nearest_wx_station
Apgar,20,194,1,0,1,0,1,0,0,west_glac
Avalanche,20,87,1,0,0,0,1,0,0,west_glac
Bowman Lake,15,46,0,0,0,0,0,0,1,west_glac
Cut Bank,10,14,0,0,0,0,1,1,1,east_glac
Fish Creek,23,178,1,1,1,1,1,0,0,west_glac
Kintla Lake,15,13,0,0,0,0,0,0,1,west_glac
Logging Creek,10,7,0,0,0,0,0,1,0,west_glac
Many Glacier,23,109,1,0,1,0,1,0,1,many_glac
Quartz Creek,10,7,0,0,0,0,0,1,0,west_glac
Rising Sun,20,84,1,1,1,0,1,0,0,st_mary
Sprague Creek,20,25,1,0,0,0,1,0,0,west_glac
St. Mary,23,148,1,1,1,1,1,0,0,st_mary
Two Medicine,20,100,1,0,1,0,1,0,1,east_glac
