"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2006","19","CO","Moose's","30-029-0010","AQS","19","16","17","."
"01/02/2006","81","PM2.5","White Fish Dead End","30-029-0009","AQS","16","11","16","81"
"01/03/2006","23","CO","Moose's","30-029-0010","AQS","23","21","19","."
"01/04/2006","23","CO","Moose's","30-029-0010","AQS","23","15","21","."
"01/05/2006","51","PM10","Kalispell Flathead Electric","30-029-0047","AQS","23","17","51","41"
"01/06/2006","27","CO","Moose's","30-029-0010","AQS","27","12","25","."
"01/07/2006","19","PM10","Kalispell Flathead Electric","30-029-0047","AQS","19","15","19","."
"01/08/2006","41","PM2.5","White Fish Dead End","30-029-0009","AQS","20","33","14","41"
"01/09/2006","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","23","31","30","."
"01/10/2006","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","28","12","."
"01/11/2006","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","32","24","8"
"01/12/2006","47","PM10","Kalispell Flathead Electric","30-029-0047","AQS","25","30","47","."
"01/13/2006","30","CO","Moose's","30-029-0010","AQS","30","21","15","."
"01/14/2006","43","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","24","15","18","43"
"01/15/2006","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","30","10","."
"01/16/2006","58","PM10","Kalispell Flathead Electric","30-029-0047","AQS","19","28","58","."
"01/17/2006","27","CO","Moose's","30-029-0010","AQS","27","23","13","7"
"01/18/2006","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","24","24","14","."
"01/19/2006","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","23","24","15","."
"01/20/2006","45","PM2.5","White Fish Dead End","30-029-0009","AQS","22","27","13","45"
"01/21/2006","25","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","25","17","."
"01/22/2006","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","27","20","."
"01/23/2006","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","29","26","16"
"01/24/2006","23","PM10","Kalispell Flathead Electric","30-029-0047","AQS","19","20","23","."
"01/25/2006","57","PM10","White Fish Dead End","30-029-0009","AQS","15","15","57","."
"01/26/2006","40","PM2.5","White Fish Dead End","30-029-0009","AQS","10","34","21","40"
"01/27/2006","42","PM10","White Fish Dead End","30-029-0009","AQS","18","31","42","."
"01/28/2006","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","32","15","."
"01/29/2006","37","PM2.5","White Fish Dead End","30-029-0009","AQS","13","32","13","37"
"01/30/2006","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","35","9","."
"01/31/2006","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","33","17","."
"02/01/2006","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","35","20","20"
"02/02/2006","25","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","25","21","."
"02/03/2006","29","PM10","Kalispell Flathead Electric","30-029-0047","AQS","20","21","29","."
"02/04/2006","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","34","21","27"
"02/05/2006","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","31","22","."
"02/06/2006","80","PM10","White Fish Dead End","30-029-0009","AQS","20","31","80","."
"02/07/2006","105","PM10","White Fish Dead End","30-029-0009","AQS","22","30","105","63"
"02/08/2006","74","PM10","White Fish Dead End","30-029-0009","AQS","24","17","74","."
"02/09/2006","51","PM10","Kalispell Flathead Electric","30-029-0047","AQS","19","34","51","."
"02/10/2006","82","PM10","White Fish Dead End","30-029-0009","AQS","18","32","82","49"
"02/11/2006","64","PM10","White Fish Dead End","30-029-0009","AQS","16","31","64","."
"02/12/2006","59","PM10","White Fish Dead End","30-029-0009","AQS","15","33","59","."
"02/13/2006","67","PM2.5","White Fish Dead End","30-029-0009","AQS","16","27","49","67"
"02/14/2006","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","23","34","31","."
"02/15/2006","55","PM10","White Fish Dead End","30-029-0009","AQS","15","31","55","."
"02/16/2006","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","37","29","20"
"02/17/2006","45","PM10","White Fish Dead End","30-029-0009","AQS","17","34","45","."
"02/18/2006","54","PM10","White Fish Dead End","30-029-0009","AQS","14","32","54","."
"02/19/2006","65","PM2.5","White Fish Dead End","30-029-0009","AQS","11","35","50","65"
"02/20/2006","36","PM10","Kalispell Flathead Electric","30-029-0047","AQS","17","35","36","."
"02/21/2006","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","31","19","."
