"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2012","41","PM2.5","Flathead Valley","30-029-0049","AQS","23","28","41"
"01/02/2012","57","PM2.5","Flathead Valley","30-029-0049","AQS","24","44","57"
"01/03/2012","47","PM10","Kalispell Flathead Electric","30-029-0047","AQS","31","47","23"
"01/04/2012","63","PM2.5","Flathead Valley","30-029-0049","AQS","33","42","63"
"01/05/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","17","8"
"01/06/2012","36","PM10","Kalispell Flathead Electric","30-029-0047","AQS","31","36","31"
"01/07/2012","41","PM2.5","Flathead Valley","30-029-0049","AQS","30","20","41"
"01/08/2012","52","PM2.5","Flathead Valley","30-029-0049","AQS","27","16","52"
"01/09/2012","69","PM2.5","Flathead Valley","30-029-0049","AQS","25","23","69"
"01/10/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","9","14"
"01/11/2012","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","10","13"
"01/12/2012","30","PM2.5","Flathead Valley","30-029-0049","AQS","26","19","30"
"01/13/2012","59","PM2.5","Flathead Valley","30-029-0049","AQS","23","24","59"
"01/14/2012","61","PM2.5","Flathead Valley","30-029-0049","AQS","33","21","61"
"01/15/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","8","20"
"01/16/2012","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","24","13","20"
"01/17/2012","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","33","13","7"
"01/18/2012","38","PM2.5","Flathead Valley","30-029-0049","AQS","34","15","38"
"01/19/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","11","28"
"01/20/2012","45","PM2.5","Flathead Valley","30-029-0049","AQS","19","13","45"
"01/21/2012","58","PM2.5","Flathead Valley","30-029-0049","AQS","31","16","58"
"01/22/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","12","20"
"01/23/2012","52","PM2.5","Flathead Valley","30-029-0049","AQS","32","15","52"
"01/24/2012","79","PM2.5","Flathead Valley","30-029-0049","AQS","28","30","79"
"01/25/2012","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","7","8"
"01/26/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","8","10"
"01/27/2012","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","15","17"
"01/28/2012","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","21","33"
"01/29/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","19","8"
"01/30/2012","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","29","13","8"
"01/31/2012","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","26","12"
"02/01/2012","63","PM2.5","Flathead Valley","30-029-0049","AQS","31","23","63"
"02/02/2012","49","PM2.5","Flathead Valley","30-029-0049","AQS","19","18","49"
"02/03/2012","29","PM2.5","Flathead Valley","30-029-0049","AQS","27","20","29"
"02/04/2012","26","PM10","White Fish Dead End","30-029-0009","AQS","24","26","17"
"02/05/2012","25","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","25","14","24"
"02/06/2012","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","26","22"
