"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2015","54","PM2.5","Flathead Valley","30-029-0049","AQS","19","25","54"
"01/02/2015","54","PM2.5","Flathead Valley","30-029-0049","AQS","24","23","54"
"01/03/2015","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","12","21"
"01/04/2015","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","27","18","20"
"01/05/2015","39","PM2.5","Flathead Valley","30-029-0049","AQS","16","13","39"
"01/06/2015","48","PM2.5","Flathead Valley","30-029-0049","AQS","30","15","48"
"01/07/2015","50","PM10","White Fish Dead End","30-029-0009","AQS","29","50","34"
"01/08/2015","40","PM2.5","Flathead Valley","30-029-0049","AQS","36","16","40"
"01/09/2015","32","PM10","White Fish Dead End","30-029-0009","AQS","30","32","13"
"01/10/2015","32","PM2.5","Flathead Valley","30-029-0049","AQS","22","19","32"
"01/11/2015","61","PM2.5","Flathead Valley","30-029-0049","AQS","15","17","61"
"01/12/2015","72","PM2.5","Flathead Valley","30-029-0049","AQS","19","21","72"
"01/13/2015","59","PM2.5","Flathead Valley","30-029-0049","AQS","19","16","59"
"01/14/2015","74","PM2.5","Flathead Valley","30-029-0049","AQS","27","22","74"
"01/15/2015","33","PM2.5","Flathead Valley","30-029-0049","AQS","24","20","33"
"01/16/2015","48","PM2.5","Flathead Valley","30-029-0049","AQS","26","15","48"
"01/17/2015","43","PM2.5","Flathead Valley","30-029-0049","AQS","28","18","43"
"01/18/2015","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","11","32"
"01/19/2015","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","9","4"
"01/20/2015","54","PM2.5","Flathead Valley","30-029-0049","AQS","31","17","54"
"01/21/2015","75","PM2.5","Flathead Valley","30-029-0049","AQS","29","34","75"
"01/22/2015","73","PM2.5","Flathead Valley","30-029-0049","AQS","28","43","73"
"01/23/2015","69","PM2.5","Flathead Valley","30-029-0049","AQS","24","30","69"
"01/24/2015","43","PM2.5","Flathead Valley","30-029-0049","AQS","15","15","43"
"01/25/2015","53","PM2.5","Flathead Valley","30-029-0049","AQS","9","15","53"
"01/26/2015","77","PM2.5","Flathead Valley","30-029-0049","AQS","11","27","77"
"01/27/2015","100","PM2.5","Flathead Valley","30-029-0049","AQS","15","43","100"
"01/28/2015","102","PM2.5","Flathead Valley","30-029-0049","AQS","16","44","102"
"01/29/2015","76","PM2.5","Flathead Valley","30-029-0049","AQS","18","57","76"
"01/30/2015","62","PM2.5","Flathead Valley","30-029-0049","AQS","20","36","62"
"01/31/2015","38","PM2.5","Flathead Valley","30-029-0049","AQS","19","19","38"
"02/01/2015","28","PM2.5","Flathead Valley","30-029-0049","AQS","15","24","28"
"02/02/2015","52","PM2.5","Flathead Valley","30-029-0049","AQS","19","18","52"
"02/03/2015","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","15","21"
"02/04/2015","37","PM2.5","Flathead Valley","30-029-0049","AQS","30","27","37"
"02/05/2015","52","PM2.5","Flathead Valley","30-029-0049","AQS","12","18","52"
"02/06/2015","45","PM2.5","Flathead Valley","30-029-0049","AQS","22","18","45"
"02/07/2015","15","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","14","13"
"02/08/2015","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","21","18","13"
"02/09/2015","22","PM2.5","Flathead Valley","30-029-0049","AQS","17","14","22"
"02/10/2015","33","PM2.5","Flathead Valley","30-029-0049","AQS","17","16","33"
"02/11/2015","57","PM2.5","Flathead Valley","30-029-0049","AQS","10","30","57"
"02/12/2015","67","PM10","White Fish Dead End","30-029-0009","AQS","16","67","64"
"02/13/2015","82","PM10","White Fish Dead End","30-029-0009","AQS","13","82","53"
"02/14/2015","83","PM10","White Fish Dead End","30-029-0009","AQS","17","83","56"
"02/15/2015","61","PM10","White Fish Dead End","30-029-0009","AQS","31","61","52"
"02/16/2015","61","PM10","White Fish Dead End","30-029-0009","AQS","33","61","."
"02/17/2015","75","PM10","White Fish Dead End","30-029-0009","AQS","31","75","12"
"02/18/2015","82","PM10","White Fish Dead End","30-029-0009","AQS","28","82","67"
"02/19/2015","91","PM10","White Fish Dead End","30-029-0009","AQS","29","91","64"
"02/20/2015","36","PM10","White Fish Dead End","30-029-0009","AQS","32","36","30"
"02/21/2015","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","29","13"
"02/22/2015","36","PM10","White Fish Dead End","30-029-0009","AQS","36","36","33"
"02/23/2015","53","PM10","White Fish Dead End","30-029-0009","AQS","33","53","34"
"02/24/2015","57","PM2.5","Flathead Valley","30-029-0049","AQS","29","57","57"
"02/25/2015","42","PM10","White Fish Dead End","30-029-0009","AQS","33","42","29"
"02/26/2015","41","PM10","White Fish Dead End","30-029-0009","AQS","36","41","20"
"02/27/2015","38","PM10","White Fish Dead End","30-029-0009","AQS","37","38","17"
"02/28/2015","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","42","31","24"
"03/01/2015","45","PM2.5","Flathead Valley","30-029-0049","AQS","37","30","45"
"03/02/2015","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","28","32"
"03/03/2015","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","29","31"
"03/04/2015","54","PM2.5","Flathead Valley","30-029-0049","AQS","39","39","54"
"03/05/2015","67","PM2.5","Flathead Valley","30-029-0049","AQS","37","50","67"
