Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM10,PM25
1/1/2019,42,PM2.5,Flathead Valley,30-029-0049,AQS,27,15,42
1/2/2019,33,PM2.5,Flathead Valley,30-029-0049,AQS,24,14,33
1/3/2019,33,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,33,13,28
1/4/2019,31,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,31,13,11
1/5/2019,25,PM2.5,Flathead Valley,30-029-0049,AQS,12,16,25
1/6/2019,31,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,31,15,13
1/7/2019,30,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,30,8,3
1/8/2019,34,PM2.5,Flathead Valley,30-029-0049,AQS,28,22,34
1/9/2019,43,PM2.5,Flathead Valley,30-029-0049,AQS,20,15,43
1/10/2019,86,PM2.5,Flathead Valley,30-029-0049,AQS,18,27,86
1/11/2019,42,PM2.5,Flathead Valley,30-029-0049,AQS,19,10,42
1/12/2019,22,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,22,8,19
1/13/2019,24,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,24,10,16
1/14/2019,25,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,25,19,17
1/15/2019,23,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,23,19,20
1/16/2019,42,PM2.5,Flathead Valley,30-029-0049,AQS,21,39,42
1/17/2019,23,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,23,12,15
1/18/2019,56,PM2.5,Flathead Valley,30-029-0049,AQS,16,17,56
1/19/2019,56,PM2.5,Flathead Valley,30-029-0049,AQS,25,13,56
1/20/2019,45,PM2.5,Flathead Valley,30-029-0049,AQS,33,9,45
1/21/2019,33,PM2.5,Flathead Valley,30-029-0049,AQS,31,11,33
1/22/2019,31,PM2.5,Flathead Valley,30-029-0049,AQS,28,12,31
1/23/2019,29,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,29,13,20
1/24/2019,39,PM2.5,Flathead Valley,30-029-0049,AQS,19,16,39
1/25/2019,41,PM2.5,Flathead Valley,30-029-0049,AQS,23,13,41
1/26/2019,50,PM2.5,Flathead Valley,30-029-0049,AQS,21,12,50
1/27/2019,36,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,36,11,33
1/28/2019,32,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,32,26,27
1/29/2019,56,PM10,White Fish Dead End,30-029-0009,AQS,27,56,38
1/30/2019,63,PM2.5,Flathead Valley,30-029-0049,AQS,28,31,63
1/31/2019,82,PM2.5,Flathead Valley,30-029-0049,AQS,21,48,82
2/1/2019,103,PM2.5,Flathead Valley,30-029-0049,AQS,15,52,103
2/2/2019,30,PM2.5,Flathead Valley,30-029-0049,AQS,30,13,30
2/3/2019,54,PM10,White Fish Dead End,30-029-0009,AQS,27,54,19
2/4/2019,28,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,28,18,13
2/5/2019,31,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,31,20,17
2/6/2019,33,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,33,12,20
2/7/2019,31,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,31,14,22
2/8/2019,31,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,31,19,28
2/9/2019,39,PM2.5,Flathead Valley,30-029-0049,AQS,31,15,39
2/10/2019,35,PM2.5,Flathead Valley,30-029-0049,AQS,31,13,35
2/11/2019,52,PM2.5,Flathead Valley,30-029-0049,AQS,27,17,52
2/12/2019,38,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,38,15,37
2/13/2019,38,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,38,8,22
2/14/2019,40,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,40,10,21
2/15/2019,39,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,39,10,28
2/16/2019,33,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,33,8,12
2/17/2019,35,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,35,15,26
2/18/2019,49,PM2.5,Flathead Valley,30-029-0049,AQS,35,28,49
2/19/2019,60,PM2.5,Flathead Valley,30-029-0049,AQS,35,17,60
2/20/2019,43,PM2.5,Flathead Valley,30-029-0049,AQS,35,14,43
2/21/2019,48,PM2.5,Flathead Valley,30-029-0049,AQS,33,22,48
2/22/2019,52,PM2.5,Flathead Valley,30-029-0049,AQS,37,22,52
2/23/2019,33,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,33,13,24
2/24/2019,37,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,37,11,19
2/25/2019,39,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,39,14,17
2/26/2019,38,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,38,9,23
2/27/2019,40,Ozone,Glacier NP - West Glacier Horse Stables,30-029-8001,AQS,40,10,26
2/28/2019,43,PM2.5,Flathead Valley,30-029-0049,AQS,35,12,43
