,Observations,Incidence,Prevalence,Majority,Train Acc,Test Acc,Test Acc Over Baseline,Test F1,Sensitivity,Specificity,PPV,NPV
Many Glacier,2489.0,1293.0,0.52,0.52,0.92,0.89,0.37,0.89,0.9,0.87,0.88,0.89
Rising Sun,1903.0,889.0,0.47,0.53,0.87,0.85,0.32,0.84,0.86,0.84,0.82,0.87
Sprague Creek,2614.0,1463.0,0.56,0.56,0.87,0.84,0.28,0.86,0.88,0.78,0.84,0.84
Fish Creek,1814.0,693.0,0.38,0.62,0.91,0.85,0.23,0.79,0.75,0.91,0.83,0.86
Avalanche,1748.0,757.0,0.43,0.57,0.84,0.78,0.22,0.74,0.72,0.83,0.77,0.8
AdaBoostClassifier,29046.0,8444.0,0.29,0.71,0.87,0.86,0.16,0.75,0.71,0.93,0.8,0.89
St. Mary,2896.0,743.0,0.26,0.74,0.92,0.9,0.15,0.79,0.76,0.94,0.82,0.92
Two Medicine,2356.0,690.0,0.29,0.71,0.88,0.86,0.15,0.73,0.66,0.94,0.81,0.87
Apgar,2828.0,644.0,0.23,0.77,0.91,0.91,0.13,0.78,0.72,0.96,0.85,0.92
Kintla Lake,2299.0,540.0,0.23,0.77,0.85,0.83,0.06,0.59,0.53,0.92,0.67,0.86
Cut Bank,2318.0,298.0,0.13,0.87,0.91,0.91,0.03,0.55,0.44,0.97,0.72,0.92
Bowman Lake,2299.0,260.0,0.11,0.89,0.94,0.91,0.02,0.51,0.42,0.97,0.66,0.93
Logging Creek,1691.0,82.0,0.05,0.95,0.96,0.94,-0.01,0.14,0.1,0.99,0.25,0.95
Quartz Creek,1791.0,92.0,0.05,0.95,0.96,0.93,-0.02,0.06,0.04,0.98,0.11,0.95
