,Observations,Y_Bar,StdDev,Train R2,Test R2,Train MSE,Test MSE,Train MAE,Test MAE
Rising Sun,889.0,14.88,3.75,0.58,0.52,6.01,6.59,1.87,2.04
Sprague Creek,1463.0,14.27,3.39,0.53,0.5,5.4,5.66,1.76,1.88
Avalanche,757.0,15.46,3.37,0.49,0.42,5.88,6.27,1.86,2.01
SVR,8444.0,14.12,3.84,0.41,0.41,8.66,8.9,2.34,2.41
Many Glacier,1293.0,12.4,3.37,0.4,0.39,6.8,7.1,1.96,2.12
St. Mary,743.0,12.06,4.56,0.49,0.37,10.86,12.23,2.59,2.84
Cut Bank,298.0,16.45,2.85,0.35,0.36,5.42,4.77,1.71,1.77
Fish Creek,693.0,11.87,4.47,0.41,0.31,11.89,13.12,2.65,2.91
Apgar,644.0,15.12,3.53,0.44,0.27,6.81,9.42,2.05,2.56
Quartz Creek,92.0,17.03,2.1,0.39,0.25,2.57,3.5,1.12,1.61
Two Medicine,690.0,15.01,3.31,0.41,0.23,6.67,7.31,2.06,2.12
Kintla Lake,540.0,14.79,2.73,0.31,0.09,5.3,6.11,1.79,2.06
Bowman Lake,260.0,16.45,2.41,0.4,0.06,3.6,4.73,1.45,1.59
Logging Creek,82.0,17.01,2.22,0.53,-0.02,2.17,5.6,1.04,1.5
